original,predicted,wer:13.96,cer:3.94,num_tokens,num_chars,substitutions,insertions,deletions
mwanzo ya mwezi wa tatu watu wakubwa watano wanao tumika katika kituo cha matunzo ya watoto wa shule ya msingi pa kobe walikutwa na ugongwa ya virusi ya corona,mwanzo ya mwezi wa tatu watu wakubwa watano wanao tumika katika kituo cha matunzo ya watoto wa shule ya msingi pacobes walikutwa na ugonjwa ya virusi ya corona,3,3,29,131,2,0,1
siku ya tatu chama cha taifa ya basket nba cha marekani ilishimamisha michezo ya basket juu ya wasiwasi kutokana na ugonjwa wa corona,siku ya tatu chana cha taaifa ya baskett ascotation national de basket cha marekani ilishimamisha michezo ya baskett juu ya wasiwasi kutokana na ugonjwa wa corona,8,27,23,111,3,4,1
uko na kikohozi ya kukauka mafua pua yenye kutoa makamasi kutapika kuhara,uko na kikozi ya kukauka nafua pua yenye kutoa makamasi kutapika kuhara,2,3,12,62,2,0,0
mask inapashwa kufunika pua yako na mudomo na kuenea muzuri bila kuacha fasi ya wazi,maske inapashwa kufanika pua yako na mdomo na kuenea muzuri bila kuacha fasi ya wazi,3,3,15,70,3,0,0
epuka kugusa macho yako pua na mudomo na mikono yako,epuka kugusa macho yako pua na mdomo na mikono yako,1,1,10,43,1,0,0
na safari za ndege mingi zilikataziwa maonyo iliyo tolewa na hatua zilizo chukuliwa kusafiri na ndege wakati ya muripuko ya virusi ya corona inaweza kuwa nguvu,na safari za ndege mingi zilikataziwa maonyo iliyo tolewa na hatua zilizo chukuliwa kusafiri na ndege wakati wa muripuko ya virusi ya corona inaweza kuwa nguvu,1,1,26,134,1,0,0
hata kama shule mingi za musingi na sekondari mu dunia zilifungwa kwa sababu ya ugonjwa ya corona hatua zinazo husu mipango za elimu ya mbele ya mafunzo ya musingi zilibadilika,hata kama shule mingi za misingi ya sekondari mitumia zilifungwa kwa sababu ya ugonjwa ya corona hatua zinjazo husu mipango za elimu ya mbele na wafunzo wa misingi zinabadilika,10,12,30,147,9,0,1
alama za kawaida ni kama vile homa kikohozi ya kukauka na muchoko,alama za kawaida ni kama vile roma kikohozi ya kukauka na mchogo,2,3,12,54,2,0,0
mu ma stations za kuuzishia essence tumia gants vifaa ya kukinga mikono ao upanguze mikono na kitambala yenye iko amo dawa kama inawezekana,mu mastations za kuuzisha essance tumia gans ya kukinga mikono ao kupanguze mikono na kitambala yenye ikono dawa kama inawezekana,9,11,23,117,6,0,3
mask inapashwa kufunika pua yako na mudomo na kuenea muzuri bila kuacha fasi ya wazi,maske inapashwa kufunika pua yako na mudomo na kuenea muzuri bila kuacha fasi ya wazi,1,1,15,70,1,0,0
epuka kugusa macho yako pua na mudomo na mikono yako,epuka kugusa macho yako pua na mdomo na mikono yako,1,1,10,43,1,0,0
na maumivu inatokea mu kifua yako,na maumivu inatokea ku kifua yako ao na maumivu inatokea mu kifua yako,7,30,6,28,0,7,0
zaidi ya hatua za serkali vituo vya watu binafsi vinafunga na kushimamisha matukio juu ya kujaribu kupunguza kusambarana kwa virusi,zaidi ya hatua za serkali vituo vya watu binafsi vinafunga na kushimamisha matukio juu ya kujaribu kupunguza kusambarana kwa virusi,0,0,20,112,0,0,0
maambukizi makubwa ikitokea kwa wakaaji wa eneo zaidi ya hatua ya watu kutosogeleana kuongeza siku za mapumuziko ya wanafunzi inaweza pia hitajika,maambukizi makubwa ikitokea kwa wakaaji wa eneo zaidi ya hatua ya watu kusokeleana kuongeza siku ya mapumuziko ya wanafunzi inaweza pia itajika,3,5,22,125,3,0,0
mu maeneo mingi hizi hatua zinalazimishwa,mu maeneo mingi hizi hatua zinalazimishwa,0,0,6,36,0,0,0
siku ya tatu chama cha taifa ya basket nba cha marekani ilishimamisha michezo ya basket juu ya wasiwasi kutokana na ugonjwa wa corona,siku ya tatu chama cha taifa ya basket nba cha marekani ilishimamisha michezo ya basket juu ya wasiwasi kutokana na ugonjwa wa corona,0,0,23,111,0,0,0
angalia pia safari ya ndege na afya,angalia pia safari ya ndege na afya,0,0,7,29,0,0,0
miji za kwanza zenye zilitumia hizi hatua zilipitisha wakati murefu mbele ya kufikisha uwingi wa vifo,miji za kwanza zenye zilitumia hizi hatua zilipitisha wakati murefu mbele ya kufikisha wingi wa vifo,1,1,16,86,1,0,0
kufungwa kwa masomo iko na vinyume ya mubaya ku matokeo ya mafunzo ya wanafunzi,kufungwa kwa masomo iko na vinyume ya muvaya ku matokeo ya mafunzo ya wanafunzi,1,1,14,66,1,0,0
inawezekana uko na maumivu mu kifua,inawezekana uko na maumivu mu kifua,0,0,6,30,0,0,0
na iko karibuni na alama za kufanana,na iko karibuni na alama za kufanana,0,0,7,30,0,0,0
kupanga gisi ya kutumia wakati kwa kuzingatia hali ya eneo iliyo hasirika kiwango ya elimu mahitaji ya wanafunzi na kupatikana kwa wazazi,kupanga gisi ya kutumia wakati kwa husigatia hali ya njeo iliyo asirika kiwango ya linwi muhitaji ya wanafunzi ja kupatikana kwa wazazi,6,12,22,116,6,0,0
kwa sababu banakohola,kwa sababu banakohola,0,0,3,19,0,0,0
nawa mikono yako mara kwa mara na maji ya moto na sabuni kisha uikaushe kwa kutumia kitambala ya kutakata,nawa mikono yako mara kwa maha na maji ya moto na sabuni kiisha kuikaushe kwa kutumia kitambala yako utakata,5,4,19,87,5,0,0
masomo ya elimu ya juu na vyuo vikuu inchini marekani ziliombwa kurudishia kila mwanafunzi franga ya masomo ya kupanga nyumba na ya mahitaji ya kawaida,masomo ya elimu ya juu na juo kuu inchini marekani iliombwa kurudishi ya akiila wanafunzi franga ya masomo ya kupanga nyumba na ya mahitaji ya kawaida,7,9,25,127,6,1,0
nawa mikono yako na epuka kugusa sura yako,nawa mikono yako na epuka kugusa sura yako,0,0,8,35,0,0,0
kutumikisha baguettes tu miti ku sahani moja hasa inchini china inapashwa epukwa,utumikisha bagete ya ni tomiti kusahani moja hasa inchini china inapashwa epukwa,6,8,12,69,6,0,0
jaribu kuifanya mara kidogo na nawa mikono mbele ya kugusa sura wako,jaribu kuifanya mara kidogo na nawa mikono mbele ya kugusa sura yako,1,1,12,57,1,0,0
mara mingi elimu ya ngazi ya tatu iko na elimu ya msingi hadi elimu ya chuo kikuu na mafundisho na mafunzo ya kiufundi,mara mingi elimu ya ngazi ya tatu iko na elimu ya msingi hadi elimu ya chuo kikuu na mafundisho ya mafunzo ya kiufundi,1,1,23,96,1,0,0
serkali ya uingereza ushauri kwa wasafiri kutoka ministere inayo husika na mambo ya inje na pia ya commonwealth,serkali ya uingereza ushauri kwa wasafiri kutoka ministeir inayo usika na mambo ya inje na pia ya qomonwellf,3,8,18,94,3,0,0
kujaribu kutumikisha vifaa juu wanafunzi waweze kupana maoni yabo na kuepuka kuwapatia wazazi kazi mingi kwa kuwaomba kutumikisha kompyuta na kutuma maoni ya wanafunzi,kujaribu kutumikisha vifaa juu ya wanafunzi waweze kupana maoni yabo na kuepuka kuwapatia wazazi kazi mingi kwa kuwaomba kutumikisha comtiuta na kutuma maoni ya wanafunzi,2,5,24,144,1,1,0
inaonekana kama hauna ruhusa ya kubadilisha kiti wakati wa safari ya ndege,inaonekana kama hauna ruhusa ya kubadilisha kiti wakati wa safari ya ndege,0,0,12,63,0,0,0
itakusaidia pia usikuwe na wasiwasi kama unapata mafua na kuzani kama inaweza kuwa labda virusi ya corona,itakusaidia pia usikuwe na wasiwasi kama unapata mafua na kuzani kama inaweza kuwa labda virusi ya corona,0,0,17,89,0,0,0
epuka kukumbatiana kupana bizu kukamatana mikono ngumi kwa ngumi na mawasiliano yoyote ile,epuka kukumbatiana kupana bizu kkukamatana mikono ngum kwa ngumi na mawasiliano yoyote ile,2,2,13,78,2,0,0
zaidi ya hatua za serkali vituo vya watu binafsi vinafunga na kushimamisha matukio juu ya kujaribu kupunguza kusambarana kwa virusi,zaidi ya hatua za serkali vitio vya watu binafsi vinafunga na kushimamisha matukio juu ya kujaribu kupunguza kusambarana kwa virusi,1,1,20,112,1,0,0
maswali kuhusu safari yako ao matatizo yako ya kiafya ya mbele kudanganya inaweza tuma unafungwa kwa miaka mingi ndani ya jela,maswali kuhusu safari yako ao matatizo yako ya kiacha ya mbele kudanganya inaweza tuma unafungwa kwa miaka mingi ndani ya jela,1,2,21,106,1,0,0
sawa kulingana na miye ni mafua ndogo,sawa kulingana na miye ni mafua ndo,1,2,7,31,1,0,0
kama unavala mask hakikisha kama unaitumia muzuri,kama unavala maske hakikisha unaitumia muzuri,2,5,7,43,1,0,1
kama musafiri kwenye ndege anaambukizwa iyi hatua inasaidia viongozi kupata watu wenye waliikala karibu naye juu ya kuwapima ao kuwatenga mbali na wengine,kama msafigi kwenye ndege anaambukizwa hii hatua inasaidia viongozi kupata watu wenye walikala karibu naye juu ya kuwapima ao kuwatenga mbali na wengine,3,5,23,132,3,0,0
ikiwezekana epuka ma eneo yenye kuwa na batu mingi,ikiwezekana epuka maeneo yenye kuwa na watu mingi,3,1,9,42,2,0,1
ukosefu ya kutumia teknolojia ao connexion internet ya muzuri inazuwia maendeleo ya mafundisho hasa kwa wanafunzi wanao tokea kwenye jamaa zisizo jiweza,ukosefu ya kutumia teknolojia ao contion internet ya muzuri inazuwia maendeleo ya mafundisho haska konesmise inayo tupia ya kwenye jamaa zisizo kujiweza,7,23,22,131,7,0,0
jaribu kuifanya mara kidogo na nawa mikono mbele ya kugusa sura wako,jaribu kuifanya mara kidogo na nawa mikono mbele ya kugusa sura yako,1,1,12,57,1,0,0
iyi ni kweli hasa zaidi kwa wazazi wenye kuwa na elimu na kipato kidogo,hii ni kweli hasa zaidi kwa wazazi wenye kuwa na elimu na kipato kidogo,1,2,14,58,1,0,0
watu wengi wanajigusa sura kisha kila dakika chache kwa siku,watu wengi wanajigusa sura kisha kila dakika chache kwa siku,0,0,10,51,0,0,0
kutowa magonjwa wa kisukari unakuaka na shida ao magonjwa kali zingine,kutoa magonjwa ya kisukari unakuwaka na shida ao magonjwa kali zingine,3,3,11,60,3,0,0
na usisahabu virusi inaambukia kwa njia ya kinywa pua na macho unaweza kusukula iyo eneo lakini haitakamata fasi usafi bora,na usisahabu virusi inaambukia kwa njia ya kinywa pua na macho unaweza kusukula hiyo eneo lakini haitakamata fasi ya usafi bora,2,3,20,104,1,1,0
siku ya tano raisi wa marekani donald trump alitangaza zarura mu taifa nzima kwa kupiganisha muripuko ya ugonjwa wa sasa wa virusi ya corona,siku ya tano rais wa marekani doald trump alitangaza zarura mutaifa nzima kwa kupiganisha muripuko ya ugonjwa wa sasa wa virusi ya corona,4,2,24,117,3,0,1
heshimia hizi maagizo na epuka vikundi ya watu,heshimia hizi maalizo naepuka vikundi vya watu,4,2,8,39,3,0,1
kama hauna namna ingine jielimishe na upate habari za sasa kuhusu hali ya mahali kwenye unapatikana,kama hauna namna ingine jelimisho na upata habahari za sasa kuhusu hali ya mahali kwenye unapatikana,3,5,16,84,3,0,0
kwa sababu banakohola,kwa sababu banacohol,1,2,3,19,1,0,0
pata habari mupya kutoka oms,pata habari mupya kutoka oms,0,0,5,24,0,0,0
muviachie wafanyakazi wa kiafya,muviachie wafanyakazi wa kiafya,0,0,4,28,0,0,0
kulazimishwa kujiandikisha ku jina yako ya kweli kwa kadi za usafiri ya watu wengi,kulazimisha kujiandikisha kwa jina yako ya kweli kwa kadi za usafiri ya watu wengi,2,3,14,69,2,0,0
usipanguze kiti yakufunikwa na kitambala juu baridi inaweza sababisha maambukizi,usipanguze kiti ya kufunikwa na kitambala juu baridi inaweza sababisha maambukizi,2,0,10,71,1,1,0
viwango ya chuki kwa wageni xenophobie viliongezeka pia asia ya mashariki na ma restaurants na kampuni zingine zilikatala kuhudumia wateja wa kigeni japani na china,viwango ya chuki kwa wageni yane jenofuni viliongezeka pia esha ya mashariki na ma restaurant na wa kampuni zingine zilikatala kuhudumia wateja wa kigeni japani na china,5,15,25,140,3,2,0
kama haupati namna ya kurudia mu inchi yako wasiliana na ambassade ao consulat ya inchi yako yenye kuwa karibu juu upate musaada,kama haupati namna ya kurudia mu inhi yako wasiliana na ambassaade ao consulaya inchi yako yenye kuwa karibu juu upate msaada,5,4,22,107,4,0,1
dada yangu iko na ma alama za vile vile,dada yangu iko na ma alama sawa vile vile,1,3,9,31,1,0,0
vinyume yenye inaweza tokea juu ya kufungwa kwa masomo na kutumikisha mafunzo ya mbali haziandaliwi katika sheria za serkali ya sasa,vinyume yenye inaweza tokea juu ya kufungwa kwa masomo na kutumikisha mafunzo ya mbali haziandaliwi katika sheria za serkali ya sasa,0,0,21,112,0,0,0
kumbuka kwamba mask hazikamati fasi ya usafi bora endelea kunawa mikono mara kwa mara,kumbuka kwamba mask hazikamati fasi ya usafi bora endelea kunawa mikono mara kwa mara,0,0,14,72,0,0,0
epuka kuuza billets katika eneo iliyo guswa na maambukizi mabadiliko kidogo ya ndege inaweza sababisha unazuwiwa,tepuka kuuza bie katika eneo iliyo guswa na maambukizi mabadiliko kidogo ya ndege inaweza sababisha unazuwia,3,6,16,97,3,0,0
naona kama inaanzia katikati ya kifua yako na inapanda mpaka ku shingo yako,nao na kama inaanzia katikati ya kifua yako la inapanda mpaka ku shingo yako,3,1,13,63,2,1,0
watu wengi wanajigusa sura kisha kila dakika chache kwa siku,watu wengi wanajigusa sura kisha kila dakika chanche kwa siku,1,1,10,51,1,0,0
wagonjwa wengine wanakuwaka na alama za kidogo sana zenye kufanana za homa,wagonjwa wengine wanakuwaka na alama za kidogo sana zenye kufanana za homa,0,0,12,63,0,0,0
iyi ni shida ya kweli kama unajaribu kutoka mu eneo iliyo guswa na maambukizi,hii ni shida ya kweli kama unajaribu kutoka mu eneo iliyo guswa na maambukizi,1,2,14,64,1,0,0
mu toilette wc tumikisha kipanguziyo ya kartasi kwa kufunga bomba na kufungua mulango kisha uitupe,kutoailete ao wc tumikisha kipanguzio ya kartasi kwa kufunga bomba na kufungua mulango kisha uitupe,3,6,15,84,3,0,0
hakuna kipimo ya kuhakikisha gisi ya kutoambukizwa virusi,hakuna kipimo ya kuhakikisha gisi ya kutoambukizwa virusi,0,0,8,50,0,0,0
kulipa kwa njia ya simu hapana franga ya kartasi ndani ya ma duka,kulipa kwa njia ya simu hapana franga ya kartasi ndani ya maduka,2,0,13,53,1,0,1
hatua kali zaidi zinahusu wasafiri ambao walitembelea mu maeneo yaliyo ambukizwa lakini inazidi inchi mingi zinazitumia kwa wasafiri wote wanao ingia,hatua kali zaidi zinahusu wasafiri ambao walitembelea mu maeneo yalio ambukizwa lakini inaziri inchi mingi zinazitumia kwa wasafiri wote wanao ingia,2,2,21,129,2,0,0
jaribu pia kuepuka kugusa fasi zenye hauhitaji kugusa hasa kwa mikono wazi,jaribu pia kuepuka kugusa fasi zenye hauhitaji kugusa hasa ku mikono wazi,1,2,12,63,1,0,0
kama haiwezekani kuepuka mawasiliano nawa mikono yako mbele na kisha,kama iwezekani kuepuka mawasiliano nawa mikono yako mbele na kisha,1,2,10,59,1,0,0
kama unawaza ulisha ambukizwa pigia hospitali simu ao huduma za afya haraka mbele ya kwenda huko wepeke juu ya kuepuka kuambukiza wengine,kama unawaza ulisha ambukizwa pigia hospitali simu ao huduma za afya haraka mbele ya kwenda uko wepeke juu ya kuepuka kuambukiza wengine,1,1,22,116,1,0,0
zaidi ya hayo katika muda ambapo kufunguliwa kwa masomo kisha kipindi yenye zilikuwa zimefungwa ilisababisha maambukizi kuongezeka,zaidi ya hayo katika muda ambao ikifunguliwa kwa masomo kisha kipindi kyenye kilikuwa kiwifungwa ilisababisha maambukizi kuongezeka,5,8,17,114,5,0,0
mara mingi ni aina ya iyi maumivu mu kifua,mara mingi ni aina ya hii maumivu mu kifua,1,2,9,34,1,0,0
nawa mikono yako mbele ya kuvala mask na epuka kuigusa wakati unaivala,nawa mikono yako mbele ya kuvala mask naepuka kuigusa wakati unaivala,2,0,12,59,1,0,1
hata kama kutengwa mbali na wengine hailazimishwi unaweza ombwa kujitenga mwenyewe kwa kubakia nyumbani na kuepuka kuwasiliana na wengine,hata kama kutengwa mbali na wengine hailazimishwi unaweza ombwa kujitenga mwenyewe kwa kubakia nyumbani na kuepuka kuwasiliana na wengine,0,0,19,119,0,0,0
virusi inaambukia kupitia matoni yenye inatoka wakati ya kupumua na mu bitu,virusi inaambukia kupitia matoni yenye inatoka wakati wa kupumua na mu bitu,1,1,12,64,1,0,0
kwa sababu ya ukosefu wa mask wafanyakazi kiafya wako na shida ya kupata mask na iyi inatia kila mtu katika hatari,kwa sababu ya ukosefu wa maska wafanya kazi kiafya wako na shida ya kupata mase na hii inatia kila mtu katika hatari,5,4,21,94,4,1,0
inchi mingi zimesimamisha ao zilipunguza safari za ndege za mashua na kuvuka mipaka hasa zaidi tena kwenda na kutoka mu maeneo zilizo guswa na maambukizi,inchi mingi zimesimamisha ao zilipunguza safari za ndege za mashua na kuvuka mipaka hasa zaidi tena kwenda na kutoka mu maeneo zilizo guswa na maambukizi,0,0,25,129,0,0,0
inaluma mu kifua,inaluma mu kifua,0,0,3,14,0,0,0
muji ya wuhan iko kwa hizo listes na kipande ingine ya china ku za mingi,muji ya wuhan iko kwa hizo liste na kipande ingine ya chana kuzamingi,5,2,15,58,3,0,2
vinyume yenye inaweza tokea juu ya kufungwa kwa masomo na kutumikisha mafunzo ya mbali haziandaliwi katika sheria za serkali ya sasa,vinyomra iflene inaweza tokea juu ya kufungwa kwo masomo na kutumikisha mafunzo ya mbali haziandaniwi a katika sheria za serkali ya sasa,5,10,21,112,4,1,0
usichangie vifaa binafsi ambavyo vinagusa mate kama vile brosse a dents mifuniko vinywaji chupa za maji na serviettes vitambala,usichangie vifaa binafsi ambavyo vinagusa mate kama vile brosadan nifuniko vinyuaji tupa za maji na serviette,8,19,19,109,5,0,3
kulazimishwa kuheshimia umbali ya kadiri kati ya wateja ndani ya ma fasi za kukukiliya kama zinafunguliwa,kulazimishwa kuheshimia umbali ya kadiri kati ya wateja ndani ya mafasi za kukulia kama zinafunguliwa,3,3,16,90,2,0,1
kohola na upige chafya ndani ya mukonjo ya konongo ao kitambala mouchoir kisha utupe hiyo kitambala na unawe mikono yako mara moja,kohowa na upige chafya ndani ya mukonjo ya konongo ao kitambala mushoi kisha utupe hiyo kitambala na unawe mikono yako mara moja,2,4,22,109,2,0,0
uchunguzi mingi inafanyika kwa njia ya ma dawa za kupiganisha ukimwi na dawa zingine za mupya zinazo punguza makali ya virusi kwa kutunza virusi ya corona,uchunguzi mingi inafanyika kwa njia ya madawa za kupiganisha ukimwi na dawa zingine za mupya zinazo punguza makali ya virusi kwa kutunza virusi ya corona,2,0,26,129,1,0,1
kwa kuheshimia umbali wa mita mbili migulu sita na wengine kwa ujumla inawezekana kuzuia maambukizi kupitia iyi njia,kwa kuheshimia umbali wa mita mbile miguu sita na mwengile kwa ujumla inawezekana kuzuia maambukizi kupitia hii njia,4,6,18,99,4,0,0
na uko na moja katika alama hizi zaidi ya maumivu ya kifua,na undazo moja katika ma alama hizi zaidi ya maumivu ya kifua,3,7,12,47,1,1,1
fasi zinazo tembelewa na wa touristes wageni kampuni na usafirishaji zinaweza fungwa hasa katika inchi zilizo guswa,fasi zinazo tembelewa na wa touristes ao wageni kampuni na usafirishaji zinaweza fungwa hasa katika inchi zilizo guswa,1,2,17,99,0,1,0
watoto wengi mu dunia wanategemea chakula za bure ao za bei chini zenye zinapewa ku masomo,watoto wengi mu dunia wanategemea chakula za bure ao za beyi chini zenye zinapewa ku masomo,1,1,16,75,1,0,0
iyi inaweza kuwa njia ya kujifunza mambo ya teknolojia mafunzo kupitia video mooc ao tena kupitia vipindi vya redio na television,hii inaweza kuwa njia ya kujifunza mambo ya teknoloja mafunzo kupitia video doc ao tela kupitia kipindi vya redio na telybision,6,9,21,109,6,0,0
kulazimishwa kujiandikisha kupitia formulaire kwenye mtandao internet ao kupitia kartasi,kulazimishwa kujiandikisha kupitia formiler kwenye mtandao ao internet ao kupitia karatasi,3,7,10,79,2,1,0
na uniambie ni alama gani uko nazo kwa sasa,na uniambie ni alama gani uko nazo kwa sasa,0,0,9,35,0,0,0
inaweza hata kukujulisha kuhusu hali ya fasi kwenye uko na kukujulisha juu ya kanuni na hatua za kusafiri zilizo kamatwa siku zilizo pita,inaweza hata kukujulisha kuhusu hali safi kwenye uko na kukujulisha juu ya kanuni na hatua za kusafiri zilizo kamatwa siku zilizo pita,2,3,23,115,1,0,1
ugonjwa huo ni aina ya virusi ya corona familia ya sars mers na aina zingine za mafua ya kawaida,ugonjwa huo ni aina ya virusi ya corona familia ya saurs mers na aina zingine za mafua ya kawaida,1,1,19,78,1,0,0
kohola na upige chafya ndani ya mukonjo ya konongo ao kitambala mouchoir kisha utupe hiyo kitambala na unawe mikono yako mara moja,kohola na upige chafya ndani ya mu kunjo ya ko nongu ao kitambala mushoir kisha utupe hiyo kitambala na unawe mikono yako mara moja,5,4,22,109,3,2,0
homa ilianza tangu siku mbili,homa ilianza tangu siku mbili,0,0,5,25,0,0,0
iyi ni hali inayo badilika haraka na kila nchi jimbo shirika iko na liste ya maeneo yenye kuwa chini ya masharti,hii ni hali inayo badilika haraka na kila inchi jimbo shirika iko na liste ya maeneo yenyewe yenye kuwa chini ya masharti,3,10,21,92,2,1,0
watafiti wamegundua kwamba wasafiri wenye wanaikala ku biti ya pembeni ya dirisha wako mu hatari kidogo ya kuwasiliana na watu wagonjwa,watafiti wamegundua kwamba wasafiri wenye wanaikala ku biti ya pembeni ya dirisha wako muhatari kidogo ya kuwasiliana na watu wagonjwa,2,0,21,115,1,0,1
kufungwa kwa masomo inalazimisha wazazi na wasimamizi wa watoto kuchunga na kuwaongoza katika mafunzo ya mbali wakati watoto hawasomi,kufungwa kwa masomo inalazimisha wazazi na wasimamizi wa watoto kuchunga na kuwaongoza katika mafunzo ya mbali wakati watoto hawasomi,0,0,19,115,0,0,0
wazee na wale wenye kuwa na ukingo ya chini njo wako kwenye hatari kubwa pia na kifo,wazee na wale wenye kuwa na kingo ya chini njo wako kwenye hatari kubwa pia na kifo,1,1,17,68,1,0,0
kusaidia walimu kutayarisha mambo ya msingi ya vifaa kwa mfano suluhisho za kutumia habari ku internet kama wanaombwa kupana elimu en direct,kusaidia walimu kutayarisha mambo ya msingi ya vifaa kama mfano suluhisho za kutumia habari ku internet kama wanaombwa kupana elimu aintirect,3,5,22,119,2,0,1
iyi inamaanisha kupunguza mawasiliano na wengine umbali ya metres mbili ao migulu sita nabo na kuepuka mikusanyiko,hii inamaanisha kupunguza mawasiliano na wengine umbali ya metre mbili ao migulu sita nabo na kuepuka mikusanyiko,2,3,17,98,2,0,0
uamuzi ya nba ilifuatana na kesi ya mchezaji wa utah jazz mwenye alikutwa na corona kisha kupimwa,uamuzi wa imb yey ilifuatana na kesi ya mchezaji wa uta jals mwenye aliputwa na corona kisha kupimwa,6,10,17,81,5,1,0
trump alikamata uamuzi huo kutokana na masharti ya sheria ya zarura ya kitaifa tukitaja vyombo vingine vinavyo ongoza,tramp alikamata uamuzi huo kutokana na masharti ya sheria ya zarura ya kitaifa tukitaja vyombo vingine vinavyo ongoza,1,1,18,100,1,0,0
majimbo mingi miji na mitaa zilitoa maagizo ya kubakiya ku ma nyumba ambazo zinahusu kufungwa kwa ma kampuni zote zisizo kuwa za muhimu,majimbo mingi miji na mitaa zilitoa maagizo ya kubakia ku ma nyumba ambazo zinahusu kufungwa kwa ma kampuni zote zisizo kuwa za muhimu,1,1,23,113,1,0,0
lakini minakuaka na mafua pia,lakini hi minakuwaka na mafua pira,3,4,5,25,2,1,0
iko sawa vile mafua ya kawaida ao kama homa,iko sawa vile mafua ya kawaida ao kama homa,0,0,9,35,0,0,0
ni kitu ya kawaida kuita iyo ugonjwa kama magonjwa ya mafafa ao virusi ya wachina katika maeneo kama hong kong na taiwan,ni kitu ya kawaida kuita iyo ugonjwa kama magonjwa ya mafafa ao virusi ya chana katika maeneo kama hong kong na taiwan,1,3,22,99,1,0,0
virusi ya corona ni virusi kubwa iyi inamaanisha kama siyo haiyambukie kabisa kupitia mu hewa iko mu matoni ya pumuzi,virusi ya corona ni virusi kubwa ii inamaanisha kama siyo haiambukie kabisa kupitia mu hewa iko mu matoni ya pumuzi,2,2,20,98,2,0,0
zingine zinahusu miunganisho zisizo kuwa za kawaida na escales mingi na kuchelewesha kwa muda mrefu kati ya safari za ndege,zingine zinahusu miunganisho zisizo kuwa za kawaida na eskale mingi na kuchelewesha kwa muda mrefu kati ya safari za ndege,1,2,20,104,1,0,0
minasikia maumivu ndani ya kifua hapa mbele ya kifua,minasikia maumivu ndani ya kifua hapa mbele ya kifua,0,0,9,44,0,0,0
unaweza kugusa mukono ya mtu mwengine bila kupiga hatua ya kumujogelea,unaweza gusa mkono ya mtu mwengine bila kupiga hatua ya kumusogelea,3,4,11,60,3,0,0
